,P(mm),Tavg(C),Tmax(C),Tmin(C)
3/26/1951,0,1.593333333,4.99,-2.726666667
3/27/1951,0,2.883333333,7.373333333,-3.73
3/28/1951,0.333333333,3.603333333,7.833333333,-0.966666667
3/29/1951,1.233333333,-0.47,-1.643333333,-1.37
3/30/1951,0,-0.193333333,1.243333333,-1.803333333
3/31/1951,0,-0.75,4.716666667,-4.953333333
4/1/1951,0,1.113333333,6.03,-3.526666667
4/2/1951,0,3.64,8.22,-1.843333333
4/3/1951,0,2.416666667,7.296666667,-3.286666667
4/4/1951,0,1.43,7.563333333,-4.82
4/5/1951,0,3.836666667,10.09,-2.916666667
4/6/1951,0,7.61,13.03666667,1.3
4/7/1951,3.3,5.803333333,8.676666667,2.806666667
4/8/1951,4.4,-0.58,1.42,-1.41
4/9/1951,0.566666667,-2.46,0.763333333,-4.223333333
4/10/1951,0,-2.226666667,3.913333333,-5.95
4/11/1951,0,-1.76,3.866666667,-4.836666667
4/12/1951,0,0.65,8.206666667,-6.456666667
4/13/1951,0,5.253333333,12.59333333,-1.386666667
4/14/1951,0,8.563333333,16.04,2.066666667
4/15/1951,0,8.913333333,15.05666667,3.146666667
4/16/1951,0,5.753333333,9.6,1.54
4/17/1951,0.266666667,2.913333333,4.186666667,0.716666667
4/18/1951,15.13333333,1.246666667,1.55,-0.33
4/19/1951,8.433333333,-1.126666667,1.126666667,-4.703333333
4/20/1951,8.766666667,-3.99,-0.51,-4.68
4/21/1951,1.233333333,-1.763333333,2.14,-5.886666667
4/22/1951,0,-0.056666667,6.11,-6.403333333
4/23/1951,0,2.393333333,9.263333333,-5.383333333
4/24/1951,0,3.163333333,8.426666667,-2.646666667
4/25/1951,2.833333333,3.953333333,4.78,1.166666667
4/26/1951,14.06666667,0.1,3.496666667,-0.046666667
4/27/1951,2.7,-0.046666667,5.04,-2.11
4/28/1951,1.366666667,0.356666667,5.963333333,-2.786666667
4/29/1951,0,2.476666667,7.95,-1.106666667
4/30/1951,0,4.123333333,8.546666667,-0.49
5/1/1951,0.433333333,3.54,9.346666667,-1.673333333
5/2/1951,8.333333333,2.113333333,5.44,0.07
5/3/1951,7.433333333,1.186666667,3.756666667,0.416666667
5/4/1951,4.233333333,1.01,5.096666667,-1.733333333
5/5/1951,0,1.333333333,5.853333333,-2.59
5/6/1951,0,1.686666667,6.533333333,-0.413333333
5/7/1951,0,4.496666667,9.346666667,-2.02
5/8/1951,6.666666667,2.106666667,6.423333333,0.096666667
5/9/1951,3.133333333,0.256666667,5.266666667,-3.96
5/10/1951,0,2.83,8.84,-3.826666667
5/11/1951,0,7.956666667,12.92,1.046666667
5/12/1951,0.666666667,8.22,10.59666667,4.236666667
